:START_ID,:END_ID,first_year:INT,pub_count:INT,:TYPE
24,407,2015,1,coauthor
24,410,2015,1,coauthor
24,440,2015,1,coauthor
24,452,2015,1,coauthor
24,466,2015,1,coauthor
24,471,2015,1,coauthor
24,474,2015,1,coauthor
24,476,2015,1,coauthor
24,481,2015,1,coauthor
24,483,2015,1,coauthor
24,490,2015,1,coauthor
24,491,2015,1,coauthor
24,505,2015,1,coauthor
24,506,2015,1,coauthor
24,507,2015,1,coauthor
24,509,2015,1,coauthor
24,512,2015,1,coauthor
24,513,2015,1,coauthor
24,517,2015,1,coauthor
24,518,2015,1,coauthor
24,524,2015,1,coauthor
24,544,2015,1,coauthor
24,547,2015,1,coauthor
24,551,2015,1,coauthor
24,552,2015,1,coauthor
24,575,2015,1,coauthor
24,578,2015,1,coauthor
24,579,2015,1,coauthor
24,580,2015,1,coauthor
24,581,2015,1,coauthor
24,582,2015,1,coauthor
24,583,2015,1,coauthor
24,586,2015,1,coauthor
24,587,2015,1,coauthor
24,588,2015,1,coauthor
24,592,2015,1,coauthor
24,596,2015,1,coauthor
24,601,2015,1,coauthor
24,602,2015,1,coauthor
24,603,2015,1,coauthor
24,604,2015,1,coauthor
24,605,2015,1,coauthor
24,606,2015,1,coauthor
25,27,2015,1,coauthor
25,33,2015,1,coauthor
25,40,2015,1,coauthor
25,45,2015,1,coauthor
25,53,2015,1,coauthor
25,56,2015,1,coauthor
25,65,2015,1,coauthor
25,70,2015,1,coauthor
25,71,2015,1,coauthor
25,76,2015,1,coauthor
25,82,2015,1,coauthor
25,88,2015,1,coauthor
25,93,2015,1,coauthor
25,99,2015,1,coauthor
25,107,2015,1,coauthor
25,108,2015,1,coauthor
25,109,2015,1,coauthor
25,115,2015,1,coauthor
25,117,2015,1,coauthor
25,126,2015,1,coauthor
25,143,2015,1,coauthor
25,158,2015,1,coauthor
25,161,2015,1,coauthor
25,166,2015,1,coauthor
25,184,2015,1,coauthor
25,186,2015,1,coauthor
25,200,2015,1,coauthor
25,201,2015,1,coauthor
25,202,2015,1,coauthor
25,217,2015,1,coauthor
25,218,2015,1,coauthor
25,221,2015,1,coauthor
25,222,2015,1,coauthor
25,223,2015,1,coauthor
25,224,2015,1,coauthor
25,229,2015,1,coauthor
25,230,2015,1,coauthor
25,244,2015,1,coauthor
25,247,2015,1,coauthor
25,248,2015,1,coauthor
25,249,2015,1,coauthor
25,263,2015,1,coauthor
25,265,2015,1,coauthor
25,266,2015,1,coauthor
25,267,2015,1,coauthor
25,268,2015,1,coauthor
25,269,2015,1,coauthor
25,271,2015,1,coauthor
25,272,2015,1,coauthor
25,273,2015,1,coauthor
25,276,2015,1,coauthor
25,277,2015,1,coauthor
25,279,2015,1,coauthor
25,286,2015,1,coauthor
25,294,2015,1,coauthor
25,295,2015,1,coauthor
25,296,2015,1,coauthor
25,298,2015,1,coauthor
25,305,2015,1,coauthor
25,308,2015,1,coauthor
25,309,2015,1,coauthor
25,317,2015,1,coauthor
25,319,2015,1,coauthor
25,321,2015,1,coauthor
25,322,2015,1,coauthor
25,324,2015,1,coauthor
25,330,2015,1,coauthor
25,333,2015,1,coauthor
25,355,2015,1,coauthor
25,360,2015,1,coauthor
25,365,2015,1,coauthor
25,376,2015,1,coauthor
25,382,2015,1,coauthor
25,384,2015,1,coauthor
25,385,2015,1,coauthor
25,392,2015,1,coauthor
25,397,2015,1,coauthor
25,398,2015,1,coauthor
25,404,2015,1,coauthor
25,407,2015,1,coauthor
25,410,2015,1,coauthor
25,440,2015,1,coauthor
25,452,2015,1,coauthor
25,466,2015,1,coauthor
25,471,2015,1,coauthor
25,474,2015,1,coauthor
25,476,2015,1,coauthor
25,481,2015,1,coauthor
25,483,2015,1,coauthor
25,490,2015,1,coauthor
25,491,2015,1,coauthor
25,505,2015,1,coauthor
25,506,2015,1,coauthor
25,507,2015,1,coauthor
25,509,2015,1,coauthor
25,512,2015,1,coauthor
25,513,2015,1,coauthor
25,517,2015,1,coauthor
25,518,2015,1,coauthor
25,524,2015,1,coauthor
25,544,2015,1,coauthor
25,547,2015,1,coauthor
25,551,2015,1,coauthor
25,552,2015,1,coauthor
25,575,2015,1,coauthor
25,578,2015,1,coauthor
25,579,2015,1,coauthor
25,580,2015,1,coauthor
25,581,2015,1,coauthor
25,582,2015,1,coauthor
25,583,2015,1,coauthor
25,586,2015,1,coauthor
25,587,2015,1,coauthor
25,588,2015,1,coauthor
25,592,2015,1,coauthor
25,596,2015,1,coauthor
25,601,2015,1,coauthor
25,602,2015,1,coauthor
25,603,2015,1,coauthor
25,604,2015,1,coauthor
25,605,2015,1,coauthor
25,606,2015,1,coauthor
27,33,2015,1,coauthor
27,40,2015,1,coauthor
27,45,2015,1,coauthor
27,53,2015,1,coauthor
27,56,2015,1,coauthor
27,65,2015,1,coauthor
27,70,2015,1,coauthor
27,71,2015,1,coauthor
27,76,2015,1,coauthor
27,82,2015,1,coauthor
27,88,2015,1,coauthor
27,93,2015,1,coauthor
27,99,2015,1,coauthor
27,107,2015,1,coauthor
27,108,2015,1,coauthor
27,109,2015,1,coauthor
27,115,2015,1,coauthor
27,117,2015,1,coauthor
27,126,2015,1,coauthor
27,143,2015,1,coauthor
27,158,2015,1,coauthor
27,161,2015,1,coauthor
27,166,2015,1,coauthor
27,184,2015,1,coauthor
27,186,2015,1,coauthor
27,200,2015,1,coauthor
27,201,2015,1,coauthor
27,202,2015,1,coauthor
27,217,2015,1,coauthor
27,218,2015,1,coauthor
27,221,2015,1,coauthor
27,222,2015,1,coauthor
27,223,2015,1,coauthor
27,224,2015,1,coauthor
27,229,2015,1,coauthor
27,230,2015,1,coauthor
27,244,2015,1,coauthor
27,247,2015,1,coauthor
27,248,2015,1,coauthor
27,249,2015,1,coauthor
27,263,2015,1,coauthor
27,265,2015,1,coauthor
27,266,2015,1,coauthor
27,267,2015,1,coauthor
27,268,2015,1,coauthor
27,269,2015,1,coauthor
27,271,2015,1,coauthor
27,272,2015,1,coauthor
27,273,2015,1,coauthor
27,276,2015,1,coauthor
27,277,2015,1,coauthor
27,279,2015,1,coauthor
27,286,2015,1,coauthor
27,294,2015,1,coauthor
27,295,2015,1,coauthor
27,296,2015,1,coauthor
27,298,2015,1,coauthor
27,305,2015,1,coauthor
27,308,2015,1,coauthor
27,309,2015,1,coauthor
27,317,2015,1,coauthor
27,319,2015,1,coauthor
27,321,2015,1,coauthor
27,322,2015,1,coauthor
27,324,2015,1,coauthor
27,330,2015,1,coauthor
27,333,2015,1,coauthor
27,355,2015,1,coauthor
27,360,2015,1,coauthor
27,365,2015,1,coauthor
27,376,2015,1,coauthor
27,382,2015,1,coauthor
27,384,2015,1,coauthor
27,385,2015,1,coauthor
27,392,2015,1,coauthor
27,397,2015,1,coauthor
27,398,2015,1,coauthor
27,404,2015,1,coauthor
27,407,2015,1,coauthor
27,410,2015,1,coauthor
27,440,2015,1,coauthor
27,452,2015,1,coauthor
27,466,2015,1,coauthor
27,471,2015,1,coauthor
27,474,2015,1,coauthor
27,476,2015,1,coauthor
27,481,2015,1,coauthor
27,483,2015,1,coauthor
27,490,2015,1,coauthor
27,491,2015,1,coauthor
27,505,2015,1,coauthor
27,506,2015,1,coauthor
27,507,2015,1,coauthor
27,509,2015,1,coauthor
27,512,2015,1,coauthor
27,513,2015,1,coauthor
27,517,2015,1,coauthor
27,518,2015,1,coauthor
27,524,2015,1,coauthor
27,544,2015,1,coauthor
27,547,2015,1,coauthor
27,551,2015,1,coauthor
27,552,2015,1,coauthor
27,575,2015,1,coauthor
27,578,2015,1,coauthor
27,579,2015,1,coauthor
27,580,2015,1,coauthor
27,581,2015,1,coauthor
27,582,2015,1,coauthor
27,583,2015,1,coauthor
27,586,2015,1,coauthor
27,587,2015,1,coauthor
27,588,2015,1,coauthor
27,592,2015,1,coauthor
27,596,2015,1,coauthor
27,601,2015,1,coauthor
27,602,2015,1,coauthor
27,603,2015,1,coauthor
27,604,2015,1,coauthor
27,605,2015,1,coauthor
27,606,2015,1,coauthor
33,40,2015,1,coauthor
33,45,2015,1,coauthor
33,53,2015,1,coauthor
33,56,2015,1,coauthor
33,65,2015,1,coauthor
33,70,2015,1,coauthor
33,71,2015,1,coauthor
33,76,2015,1,coauthor
33,82,2015,1,coauthor
33,88,2015,1,coauthor
33,93,2015,1,coauthor
33,99,2015,1,coauthor
33,107,2015,1,coauthor
33,108,2015,1,coauthor
33,109,2015,1,coauthor
33,115,2015,1,coauthor
33,117,2015,1,coauthor
33,126,2015,1,coauthor
33,143,2015,1,coauthor
33,158,2015,1,coauthor
33,161,2015,1,coauthor
33,166,2015,1,coauthor
33,184,2015,1,coauthor
33,186,2015,1,coauthor
33,200,2015,1,coauthor
33,201,2015,1,coauthor
33,202,2015,1,coauthor
33,217,2015,1,coauthor
33,218,2015,1,coauthor
33,221,2015,1,coauthor
33,222,2015,1,coauthor
33,223,2015,1,coauthor
33,224,2015,1,coauthor
33,229,2015,1,coauthor
33,230,2015,1,coauthor
33,244,2015,1,coauthor
33,247,2015,1,coauthor
33,248,2015,1,coauthor
33,249,2015,1,coauthor
33,263,2015,1,coauthor
33,265,2015,1,coauthor
33,266,2015,1,coauthor
33,267,2015,1,coauthor
33,268,2015,1,coauthor
33,269,2015,1,coauthor
33,271,2015,1,coauthor
33,272,2015,1,coauthor
33,273,2015,1,coauthor
33,276,2015,1,coauthor
33,277,2015,1,coauthor
33,279,2015,1,coauthor
33,286,2015,1,coauthor
33,294,2015,1,coauthor
33,295,2015,1,coauthor
33,296,2015,1,coauthor
33,298,2015,1,coauthor
33,305,2015,1,coauthor
33,308,2015,1,coauthor
33,309,2015,1,coauthor
33,317,2015,1,coauthor
33,319,2015,1,coauthor
33,321,2015,1,coauthor
33,322,2015,1,coauthor
33,324,2015,1,coauthor
33,330,2015,1,coauthor
33,333,2015,1,coauthor
33,355,2015,1,coauthor
33,360,2015,1,coauthor
33,365,2015,1,coauthor
33,376,2015,1,coauthor
33,382,2015,1,coauthor
33,384,2015,1,coauthor
33,385,2015,1,coauthor
33,392,2015,1,coauthor
33,397,2015,1,coauthor
