:ID,fullname:STRING,lab:STRING,:LABEL
543,THOMAS GUYET,EXT,Author
544,THOMAS MAUTHNER,EXT,Author
545,THOMAS PONTOIZEAU,EXT,Author
546,THOMAS SCHWARZ,EXT,Author
547,TIANFU WU,EXT,Author
548,TIEN-NAM LE,EXT,Author
549,TIEN-TUAN DAO,EXT,Author
550,TINA COMES,EXT,Author
551,TOMAS VOJIR,EXT,Author
552,TONY PRIDMORE,EXT,Author
553,TRISTAN CAZENAVE,LAMSADE,Author
554,TRUNG THANH NGUYEN,EXT,Author
555,TUAN NHA HOANG,EXT,Author
556,ULLE ENDRISS,EXT,Author
557,UMBERTO SOUZA DA COSTA,EXT,Author
558,VADIM LOZIN,EXT,Author
559,VALERIA DE CASTRO,EXT,Author
560,VALIA MITSOU,EXT,Author
561,VANGELIS PASCHOS,LAMSADE,Author
562,VANGELIS TH PASCHOS,EXT,Author
563,VANGELIS TH. PASCHOS,EXT,Author
564,VIANNEY PERCHET,EXT,Author
565,VIKTOR ZAMARAEV,EXT,Author
566,VINCENT CONITZER,EXT,Author
567,VINCENT GIARD,LAMSADE,Author
568,VINCENT HOVELAQUE,EXT,Author
569,VINCENT MERLIN,EXT,Author
570,VINCENT MOUSSEAU,EXT,Author
571,VIRGINIE GABREL,LAMSADE,Author
572,VIRGINIE THION,EXT,Author
573,VITTORIO BILÒ,EXT,Author
574,WASSILA OUERDANE,EXT,Author
575,WEIMING HU,EXT,Author
576,WILLIAM J. RIPPLE,EXT,Author
577,WITOLD LITWIN,LAMSADE,Author
578,WOLFGANG HÜBNER,EXT,Author
579,XIAOMENG WANG,EXT,Author
580,XIN LI,EXT,Author
581,XINCHU SHI,EXT,Author
582,XU ZHAO,EXT,Author
583,XUE MEI,EXT,Author
584,XUEYING SHEN,EXT,Author
585,Y. NOACK,EXT,Author
586,YANG HUA,EXT,Author
587,YANG LI,EXT,Author
588,YANG LU,EXT,Author
589,YANN CHEVALEYRE,LAMSADE,Author
590,YANNICK LOISEAU,EXT,Author
591,YANNIS DIMOPOULOS,EXT,Author
592,YAO SHIZENG,EXT,Author
593,YOANN DESMOUCEAUX,EXT,Author
594,YOTA OTACHI,EXT,Author
595,YUDITH CARDINALE,EXT,Author
596,YUEZUN LI,EXT,Author
597,YVAN LE BRAS,EXT,Author
